NTAName_x,Total Population,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
Harlem (South),49945,10116,14431,25417,81,3020,34,4515
Hell's Kitchen,27122,4906,16967,1597,469,5605,0,1239
Highbridge,32234,21419,4420,12225,92,218,0,14226
Highbridge Park,0,0,0,0,0,0,0,0
Highland Park-Cypress Hills Cemeteries (North),17,9,9,0,0,8,0,0
Highland Park-Cypress Hills Cemeteries (South),0,0,0,0,0,0,0,0
Hoffman & Swinburne Islands,0,0,0,0,0,0,0,0
Hollis,21189,2480,1306,12027,51,4080,0,2837
Holy Cross Cemetery,26,21,0,26,0,0,0,0
Howard Beach-Lindenwood,20397,5482,15459,649,0,960,0,1871
Hunts Point,7800,5074,794,3126,88,9,0,3376
Hutchinson Metro Center,554,123,356,112,0,0,0,86
Inwood,41936,29294,16272,5886,92,1214,104,16102
Inwood Hill Park,22,3,4,13,0,2,0,3
Jackson Heights,70383,37576,34443,1691,309,16969,80,14291
Jacob Riis Park-Fort Tilden-Breezy Point Tip,11,0,11,0,0,0,0,0
Jamaica,55604,20049,5322,9599,440,19595,113,18493
Jamaica Bay (East),0,0,0,0,0,0,0,0
Jamaica Bay (West),0,0,0,0,0,0,0,0
Jamaica Estates-Holliswood,16927,2305,5743,3284,53,6004,0,1386
Jamaica Hills-Briarwood,40618,10173,9829,5250,302,15923,6,7635
John F. Kennedy International Airport,0,0,0,0,0,0,0,0
Kensington,34898,5768,19419,2108,254,8682,0,2640
Kew Gardens,18253,4616,11278,1349,205,2745,15,2085
Kew Gardens Hills,34290,4914,20773,2602,190,7565,0,1397
Kingsbridge Heights-Van Cortlandt Village,35851,25264,9682,7536,305,1142,300,15062
Kingsbridge-Marble Hill,24565,15691,8819,4929,234,1084,0,8348
Kissena Park,0,0,0,0,0,0,0,0
LaGuardia Airport,0,0,0,0,0,0,0,0
Laurelton,25941,1815,815,23569,102,269,0,763
Longwood,38758,28771,5447,10697,272,294,27,20623
Lower East Side,44909,14769,19892,5014,527,10678,0,6623
Madison,41116,3682,27565,1226,28,9593,43,1222
Manhattanville-West Harlem,23769,13048,6375,7788,198,1289,0,5068
Mapleton-Midwood (West),37245,2777,30237,660,314,3659,10,1198
Marine Park-Mill Basin-Bergen Beach,43042,4448,30809,5526,120,4247,0,1597
Marine Park-Plumb Island,0,0,0,0,0,0,0,0
Mariner's Harbor-Arlington-Graniteville,32780,12324,16306,9855,39,3037,0,2474
Maspeth,38434,11105,28289,616,78,4449,29,3743
Melrose,42877,28646,6586,15435,244,287,110,18585
Middle Village,32120,6834,24275,413,63,3621,0,2694
Middle Village Cemetery,0,0,0,0,0,0,0,0
Midtown South-Flatiron-Union Square,27789,2134,20724,864,33,4664,0,772
Midtown-Times Square,19860,2133,13836,961,77,3908,84,508
Midwood,49914,3786,37768,3146,55,5956,27,1613
Montefiore Cemetery,0,0,0,0,0,0,0,0
Morningside Heights,37379,7791,20402,5128,209,6240,18,3720
Morris Park,22296,8093,12335,1765,161,3187,0,3708
Morrisania,25169,14667,3196,10616,267,262,130,9710
Mott Haven-Port Morris,49694,34432,7636,16508,566,178,24,23119
Mount Eden-Claremont (West),50367,36120,7438,15523,256,867,233,23643
Mount Hebron & Cedar Grove Cemeteries,0,0,0,0,0,0,0,0
Mount Hope,47167,31735,7348,19945,138,707,0,17949
Mount Olivet & All Faiths Cemeteries,14,0,14,0,0,0,0,0
