NTAName,County Name,Total Population,Male_Pop,Female_Pop,Hsp_Pop,Not_Hsp_Pop,White_Pop,Black_Pop,AmericanIndian_AlaskanNative_Pop,Asian_Pop,NativeHawaiian_Pop,Other_Pop,Two+_Pop,BoroCode,Shape_Leng,Shape_Area,Male_Pop_WA,Female_Pop_WA,Hsp_Pop_WA,Not_Hsp_Pop_WA,White_Pop_WA,Black_Pop_WA,AmericanIndian_AlaskanNative_Pop_WA,Asian_Pop_WA,NativeHawaiian_Pop_WA,Other_Pop_WA,Two+_Pop_WA
Barren Island-Floyd Bennett Field, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,44394.2974379,54666302.9522,110544.24637681161,110547.2463768116,154941.54381471162,54821244.49601472,54931788.742391534,55042335.98876834,55197277.53258306,110018522.02859777,164950310.7709893,219992646.75975764,275189924.2923407
Bath Beach, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,22422.3706826,20556460.4891,110544.24637681161,110547.2463768116,132969.6170594116,20689430.106159415,20799974.352536228,20910521.598913036,21043491.21597245,41732921.322131865,62532895.67466809,83443417.27358113,104486908.48955359
Bay Ridge, Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,41302.5197245,61637531.6528,110544.24637681161,110547.2463768116,151849.7661013116,61789381.41890132,61899925.66527812,62010472.911654934,62162322.67775625,123951704.09665757,185851629.76193568,247862102.67359063,310024425.35134685
Bay Terrace-Clearview, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,31201.8679627,39315519.5955,78663.25301204821,78667.25301204821,109869.1209747482,39425388.71647475,39504051.969486795,39582719.22249885,39692588.3434736,79117977.05994834,118622029.02943514,158204748.251934,197897336.59540758
Bayside, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,41945.5008443,70410060.9271,78663.25301204821,78667.25301204821,120612.7538563482,70530673.68095635,70609336.9339684,70688004.18698044,70808616.9408368,141339290.62179315,211948627.55576155,282636631.74274194,353445248.6835788
Bedford Park, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,20826.4325425,24552528.8724,73248.22448979592,73250.22448979592,94076.65703229592,24646605.529432297,24719853.753922094,24793103.978411887,24887180.635444183,49533786.164876476,74253639.91879857,99046743.89721045,123933924.53265464
Bedford-Stuyvesant (East), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,29753.971349,41289700.7379,110544.24637681161,110547.2463768116,140301.2177258116,41430001.95562581,41540546.20200262,41651093.448379435,41791394.66610525,83221396.62173106,124761942.82373367,166413036.2721131,208204430.93821836
Bedford-Stuyvesant (West), Kings,39309.5652173913,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,26307.6460518,36906698.8302,110544.24637681161,110547.2463768116,136854.8924286116,37043553.722628616,37154097.96900543,37264645.21538224,37401500.107810855,74445053.83043948,111599151.7994449,148863797.01482716,186265297.122638
Bellerose, Queens,28912.83132530121,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445786,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,32397.6635193,55322223.0696,78663.25301204821,78667.25301204821,111064.9165313482,55433287.986131355,55511951.23914341,55590618.492155455,55701683.4086868,111134971.39481816,166646922.63396156,222237541.126117,277939224.5348038
Belmont, Bronx,30068.44897959184,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.6122448979592,476.59183673469386,2.0,19746.6529273,16393957.4602,73248.22448979592,73250.22448979592,92996.87741709591,16486954.337617096,16560202.562106892,16633452.786596688,16726449.664013784,33213404.00163088,49773606.56373777,66407059.35033446,83133509.01434824
