,ntacode,avg_compound_score,norm_compound_score
0,QN08,-0.4136109759763903,0.21731560915602777
1,BX28,-0.3427048427806357,0.4917260929984175
2,QN55,-0.38168752852440385,0.34086103839318715
3,BK40,-0.3801324021218469,0.3468794597811311
4,BK50,-0.4180211223018074,0.2002481097391242
5,BX41,-0.3116283412293285,0.6119937968270839
6,QN26,-0.3821852371844595,0.3389348795679503
7,BK68,-0.3347271390577519,0.5226002281385189
8,BK79,-0.37151562766439505,0.3802268324477833
9,QN38,-0.23924742477837568,0.8921117698298866
10,QN52,-0.41822465271486364,0.1994604362811847
11,BK44,-0.41991181336679184,0.19293103536832867
12,QN01,-0.4277603982046882,0.16255659713885628
13,BX98,-0.4008105220715977,0.2668540424495056
14,QN07,-0.41407528871738686,0.2155186943029883
15,QN48,-0.3753434402657392,0.3654129953274743
16,BK77,-0.2973355482098416,0.667307661385296
17,BK41,-0.4170532418109843,0.20399385840454798
18,BK75,-0.3214354030122681,0.5740399492875623
19,QN33,-0.3519366142310672,0.45599864945779367
20,QN44,-0.36058384439661023,0.42253341159082103
21,MN06,-0.26497957977423436,0.7925269696938144
22,BX07,-0.35244569892731104,0.454028464771127
23,QN62,-0.43497578361459266,0.13463267416910463
24,SI11,-0.36669822694724596,0.3988704278897457
25,QN15,-0.35839735526046845,0.43099524013403534
26,SI08,-0.3674096457781033,0.39611719940595314
27,BX10,-0.41772898850813234,0.20137868296397854
28,BX33,-0.31305196510322525,0.6064842971767914
29,QN37,-0.2912733030827036,0.6907688705012474
30,BX13,-0.4180374977604085,0.20018473584866725
31,BK81,-0.35250160905937006,0.45381208960443087
32,BK85,-0.37980928788230284,0.3481299289692459
33,QN35,-0.3829629772613427,0.3359249843560379
34,SI37,-0.3782473427025793,0.35417473938529165
35,QN23,-0.39810317836901365,0.27733160569925586
36,QN12,-0.3410297418786683,0.4982088220413998
37,QN46,-0.37066820364607184,0.3835064081968338
38,QN50,-0.42904045001765423,0.1576027289541453
39,BK91,-0.41432421479180565,0.21455533723578424
40,BK95,-0.37535587077072036,0.3653648886160723
41,QN66,-0.3720104640004329,0.3783117896683377
42,QN41,-0.4174270466555855,0.20254721389515895
43,BK09,-0.31969313810046146,0.5807826065991741
44,QN54,-0.41917462921115706,0.19578397702106565
45,SI12,-0.3921366179114478,0.3004225100856981
46,SI28,-0.3824909971632181,0.3377515722864892
47,BX43,-0.31753458628356007,0.5891363162400525
48,BK64,-0.367491059007725,0.3958021259034963
49,BX55,-0.3182771817509207,0.5862624325248735
50,QN47,-0.4166451449456129,0.20557321484712787
51,QN49,-0.39030545096342745,0.30750922297716565
52,BK63,-0.3572934881546981,0.43526726418808837
53,SI14,-0.3887748877020696,0.31343258371016547
54,BX06,-0.3050549944567045,0.637432996329893
55,BK21,-0.32725166919585236,0.5515306916865703
56,BK26,-0.45629821880421845,0.052113722798145856
57,BX22,-0.3791504686006903,0.3506795944168437
58,QN19,-0.45247800643357655,0.06689814662385918
59,BK34,-0.35216091291106666,0.4551306017088925
60,BX03,-0.4144098351271671,0.21422398201171022
61,BX31,-0.4251826286920611,0.17253270142367616
62,QN17,-0.36661269249925216,0.39920145072516644
63,QN60,-0.3806489874049145,0.3448802474269461
64,BX29,-0.3576470455508904,0.43389897837440095
65,BX30,-0.28885258955676607,0.7001371598149864
66,BK27,-0.4335464037839238,0.14016444967638741
67,BX05,-0.32735562145151953,0.5511283909618168
68,QN22,-0.3679424165543462,0.3940553483375515
69,QN51,-0.3909265627620317,0.30510548748217436
70,QN02,-0.41423419402940154,0.21490372234513666
71,QN76,-0.40643334675998083,0.24509341366101411
72,BX35,-0.31905705805150614,0.5832442700143041
73,QN28,-0.38501491845555597,0.32798386346081587
74,QN63,-0.4079947325463732,0.23905076812673176
75,BK88,-0.4030166680583741,0.2583161408551975
76,MN19,-0.2743696032385194,0.7561870824937587
77,MN35,-0.2734062804942755,0.7599151924389809
78,QN43,-0.3685088012582264,0.39186340959223
79,QN61,-0.36329375956411614,0.41204589663588553
80,MN04,-0.27869874355878793,0.7394330805990732
81,MN50,-0.32029498473126083,0.5784534283220197
82,BK58,-0.454351081198527,0.059649248265461585
83,BK96,-0.41163213808667476,0.2249738163983177
84,MN20,-0.23750783864427624,0.898844060130161
85,BK90,-0.3403056437484344,0.501011120084057
86,BK73,-0.29640564017100834,0.6709064546541474
87,BX59,-0.38171994008989685,0.3407356039213276
88,QN10,-0.3887097372608089,0.31368471936195097
89,BK17,-0.43271456054209256,0.14338372699675306
90,BX26,-0.31633869242666324,0.593764488685858
91,MN23,-0.26905896249127476,0.7767395429267832
92,SI45,-0.36532363415851404,0.40419017464847573
93,SI36,-0.37687048745179635,0.3595032419917614
94,MN36,-0.26215587676583146,0.8034548496082905
95,MN34,-0.2941155795713191,0.679769110236482
96,MN27,-0.29873335244952576,0.661898085084333
97,MN21,-0.2718470350416841,0.7659495547683071
98,MN31,-0.2974732848528173,0.6667746132956835
99,MN40,-0.2810072855297864,0.7304989011327747
100,MN22,-0.2676971201971144,0.7820099445974802
101,MN33,-0.2995556153832443,0.6587158840628158
102,BK33,-0.35624136191897904,0.4393390483398185
103,BK61,-0.3374910175312997,0.5119038723364906
104,BK69,-0.32148485896028856,0.5738485521542889
105,QN25,-0.39494329468978295,0.2895605225816573
106,BK30,-0.40441748749666173,0.252894895576244
107,BK31,-0.3932468517307013,0.2961258465138963
108,BX01,-0.30968844205880175,0.6195013091676602
109,BX40,-0.3282464244893005,0.5476809361142805
110,BX09,-0.3929312398715364,0.29734728109333863
