,ntacode,avg_compound_score,norm_compound_score
127,SI24,-0.38873327634642646,0.31359362185624295
128,BX62,-0.42406634804014903,0.1768527665575257
129,BX52,-0.42055771752737725,0.19043135212184925
130,QN68,-0.402862987967824,0.2589108909297555
131,QN56,-0.40890675240376223,0.23552120306570856
132,QN57,-0.38028312751746757,0.34629614453214663
133,MN12,-0.27394426200068434,0.7578331755693775
134,MN14,-0.225805604002155,0.944132326820946
135,BK45,-0.4401116504313569,0.11475659808627103
136,QN70,-0.3493104165346612,0.4661621733739403
137,QN72,-0.3734906060960991,0.3725835615120241
138,BK82,-0.40791442163165625,0.23936157561223448
139,BK93,-0.3757962097014013,0.36366075367630324
140,BX44,-0.366199527765135,0.40080042008769956
141,BX99,-0.2850603614133343,0.7148132832020411
142,BX17,-0.3396802931849164,0.5034312598233421
143,BX36,-0.32262292990218955,0.5694441574462621
144,QN20,-0.35546641231959586,0.44233814425629037
145,QN21,-0.43931007139331346,0.1178587513380942
146,BX14,-0.3087591118622759,0.623097866156235
147,BK42,-0.3713385481351639,0.3809121395870225
148,QN27,-0.4120680405282092,0.2232868509060757
149,MN01,-0.2706718857863397,0.7704974445094641
150,SI01,-0.3809237363438864,0.3438169545088241
151,SI32,-0.41269084036250503,0.220876582623722
152,BK19,-0.3740921090459262,0.37025571329840057
153,BK23,-0.3137005217199206,0.6039743487849476
154,SI25,-0.38623096306090016,0.32327770655327215
155,SI54,-0.3917671057185216,0.3018525418061788
156,MN13,-0.2620581814718029,0.8038329355607354
157,MN15,-0.2770184453016146,0.7459359236814551
158,BK72,-0.3776921208677351,0.3563234772373307
159,SI07,-0.36735914299215305,0.39631264785735487
160,SI05,-0.39532825829338647,0.28807069308503386
161,SI48,-0.401372855994549,0.26467778044051915
162,BX75,-0.3202559694437503,0.578604419547186
163,MN24,-0.27952910007865417,0.7362195569713059
164,MN25,-0.2113697099346159,1.0
165,BX08,-0.36664158400236974,0.3990896390807839
166,MN03,-0.28450695538562903,0.7169549937844621
167,MN99,-0.26488310873360155,0.7929003177208989
168,QN45,-0.38036763345701236,0.3459691020787947
169,QN06,-0.3548266966548905,0.4448138776965658
170,QN99,-0.35571674090768457,0.44136935938704136
171,BK32,-0.3506002353989095,0.46117050618444244
172,BK37,-0.3403540188449912,0.5008239059030857
173,QN34,-0.3906847833100722,0.3060411867426627
174,QN42,-0.3544027838094488,0.4464544428181121
175,BX37,-0.4084180000680419,0.23741270044230145
176,BX46,-0.3856825432246826,0.32540012031104615
177,QN30,-0.469764113103557,0.0
178,QN31,-0.3927767213034197,0.29794527612040467
179,QN18,-0.425894400819387,0.1697781056638734
180,QN29,-0.40151780077762456,0.26411683646767004
181,BK38,-0.3188138847988376,0.5841853633572183
182,MN28,-0.26570855374023494,0.7897058019089844
183,BK35,-0.31888073186254556,0.5839266616868719
184,BK78,-0.3213246605891173,0.5744685283194324
185,BX27,-0.3638608244323717,0.40985132561847526
186,BK83,-0.38970516365297275,0.3098323666021543
187,QN53,-0.41963220408916463,0.19401313805398313
188,BK60,-0.3196587803018603,0.580915573096048
189,BK99,-0.4030504565741415,0.25818537751298476
190,BX34,-0.31581395447124294,0.5957952523130299
191,BX39,-0.3210923845529157,0.5753674488585501
192,BX63,-0.27743054507619974,0.7443410757686089
193,SI22,-0.338735317991517,0.5070883637768728
194,SI35,-0.35764580762249887,0.4339037692227177
