NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Belmont,57305,17.67385044934997,25.132187418200857,0.0,3.9979059418898872,0.0,0.24605182793822528,2.2214466451444026,50.72855771747666
Bensonhurst,200697,27.19123853371002,22.28184776055447,0.18286272340891993,24.0785861273462,0.018934014957871816,1.717514462099583,1.8849310154112917,22.644085362511646
Borough Park,237324,35.77809239689201,25.615192732298457,0.1655963998584214,10.502519762013113,0.013483676324349835,1.256931452360486,1.929008444152298,24.739175136100858
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,32516,61.20679050313692,23.05326608438922,0.0,1.8452454176405464,0.0,0.5535736252921639,1.2301636117603643,12.110960757780784
Brighton Beach,35232,60.06755222524978,14.021344232515895,0.11920980926430517,8.353201634877385,0.0,0.38601271571298823,6.179041780199818,10.873637602179837
Bronx Park,13,7.6923076923076925,61.53846153846154,0.0,0.0,0.0,0.0,0.0,30.76923076923077
Brooklyn Heights,47060,58.10242243943902,14.793880152996175,0.2358691032724182,8.827029324266894,0.04674883127921802,0.1041223969400765,3.918402039949001,13.971525711857202
Brooklyn Navy Yard,0,,,,,,,,
Brownsville,48131,5.3271280463734385,66.53092601441898,0.012465978267644555,1.3068500550580706,0.11011614136419356,0.32827076104797326,2.478652012216659,23.90559099125304
Bushwick (East),116013,12.383956970339531,19.501262789514968,0.1620508046512029,4.849456526423763,0.0051718341909958365,0.8274934705593339,1.5653418151414065,60.705265789178796
Bushwick (West),94573,20.749050997642033,10.462817083099827,0.09622196610026118,5.9636471297304725,0.01586076364290019,0.41026508622968505,1.6283717340044197,60.673765239550406
Calvary & Mount Zion Cemeteries,12907,26.613465561323313,23.80878593011544,0.13171147439373984,2.9673820407530798,0.0,0.4648640272720229,3.1068412489346864,42.906949717207716
Calvert Vaux Park,0,,,,,,,,
Cambria Heights,48500,40.03092783505154,40.29896907216495,0.23505154639175255,7.849484536082474,0.0,0.43092783505154636,3.1010309278350516,8.05360824742268
Canarsie,104559,5.340525444964087,78.08414388048853,0.10042177144004821,3.114031312464733,0.0,0.8971011581977639,1.9022752704214847,10.561501162023355
Canarsie Park & Pier,0,,,,,,,,
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,200180,50.817264461984216,11.552602657608151,0.06993705664901588,8.131181936257368,0.14486961734439005,0.4381057048656209,3.393445898691178,25.45259266660006
Castle Hill-Unionport,119834,30.346979988984764,9.791878765625782,0.07176594288766126,17.812140127175926,0.01335180332793698,1.893452609443063,2.5310012183520536,37.53942954420281
Central Park,8703,39.54958060438929,9.663334482362403,0.14937377915661265,10.18039756405837,0.0,0.24129610479145122,3.7458347696196714,36.4701826956222
Chelsea-Hudson Yards,107264,48.6910799522673,8.430601133651551,0.08204057279236276,11.331854116945108,0.058733591885441534,0.38223448687350836,2.590803997613365,28.43265214797136
Chinatown-Two Bridges,78676,12.583252834409478,13.326808683715491,0.4829935431389496,40.504092734760285,0.0,0.667293710915654,1.9090955310386903,30.526462962021455
Claremont Park,13381,80.30042597713175,1.4647634705926313,0.0,4.611015619161497,0.0,0.5530229429788506,2.5184963754577385,10.552275614677528
Claremont Village-Claremont (East),79585,49.073317836275685,16.64886599233524,0.054030282088333235,7.764025884274675,0.0,0.2123515737890306,2.514292894389646,23.733115536847396
Clinton Hill,112959,31.483104489239462,22.621482130684583,0.10003629635531475,6.567869758053807,0.012393877424552271,0.5683478076116113,2.076859745571402,36.56990589505927
Co-op City,36674,5.979713148279435,58.54829034193162,0.0,2.6940066532148115,0.0,0.7907509407209468,2.6367453781970878,29.350493537656103
College Point,28676,25.920630492397823,2.0923420281768728,0.0,29.644999302552655,0.18831078253591854,0.1639001255405217,1.0566327242293208,40.933184544566885
Concourse-Concourse Village,131339,30.384729592885584,19.921729265488544,0.1439024204539398,7.76920792757673,0.0,0.42485476514972703,1.6400307600941078,39.71554526835136
Coney Island-Sea Gate,89284,33.17727700371847,32.17373773576453,0.0884816988486179,5.934993951883876,0.007840150530890194,0.7436942789301555,3.1147798037722323,24.75919537655123
Corona,119832,7.941117564590426,11.258261566192669,0.19777688764269977,10.264370118165433,0.0,0.5624541024100407,1.0681620935977034,68.70785766740103
Crotona Park,14439,64.18727058660572,9.308123831290256,0.0,6.856430500727197,0.0,0.048479811621303416,0.8864879839324052,18.71320728582312
Crotona Park East,76427,41.10589189684274,15.497141062713437,0.07981472516257344,7.991940021196697,0.0,0.6267418582438145,2.4232273934604263,32.27524304238031
Crown Heights (North),128067,20.865640641226857,45.081871208039544,0.07808412783933409,3.503634816150921,0.0,0.5973435779709059,3.007019763092756,26.86640586567968
Crown Heights (South),62891,34.71402903436104,47.86376429059802,0.027030894722615318,1.8110699464152262,0.0,0.5183571576219173,1.5248604728816524,13.54088820339953
Cunningham Park,0,,,,,,,,
Cypress Hills,40417,4.045327461216814,19.55117895934879,0.07422619194893237,4.958309622188683,0.012371031991488729,0.9624662889378232,2.395031793552218,68.00108865081526
Douglaston-Little Neck,25306,41.17600569035012,2.082510076661661,0.0,43.064885797834506,0.0,0.2766142416818146,2.56856081561685,10.831423377855053
Downtown Brooklyn-DUMBO-Boerum Hill,121502,42.78777304077299,12.982502345640402,0.0362133956642689,14.607166960214645,0.025513983308916723,0.9102730819245773,3.2254613092788595,25.425095883195336
Dyker Beach Park,1926,6.28245067497404,11.734164070612668,0.0,40.13499480789201,0.0,23.00103842159917,8.618899273104882,10.228452751817239
Dyker Heights,165019,26.92659633133154,19.695913803865007,0.2690599264327138,20.849114344408825,0.027875577963749627,2.7887697780255607,2.2288342554493723,27.21383598252323
East Elmhurst,77522,8.714945434844303,36.943061324527235,0.13286550914579087,5.185624725884265,0.08255720956631667,0.31861923067000336,1.0848533319573799,47.53747323340471
East Flatbush-Erasmus,47534,6.0861698994404,75.24298396936929,0.3050448100307149,4.428409138721757,0.0,0.9887659359616274,2.8085160095931334,10.140110236883073
East Flatbush-Farragut,46002,3.7846180600843446,67.55141080822573,0.29563932002956395,9.471327333594191,0.0,1.4738489630885614,4.488935263684188,12.934220251293421
East Flatbush-Remsen Village,48344,23.043190468310442,63.494952837994376,0.0,0.752937282806553,0.0,0.7405262286943571,3.559904021181532,8.408489161012742
East Flatbush-Rugby,51100,9.107632093933464,69.99412915851272,0.187866927592955,5.483365949119374,0.0,0.8864970645792564,1.9804305283757337,12.360078277886496
East Flushing,29714,13.892441273473782,2.3456956316887663,0.8649121626169481,63.46839873460321,0.0,0.27259877498822105,0.8581813286666218,18.297772093962443
East Harlem (North),132691,22.05575359293396,25.72593469037086,0.45594652237152483,16.496220542463316,0.13716077201920251,1.9458742491954992,1.8335832874874707,31.349526343158164
