NTAName,Normalized
Sunnyside Yards (North),9.452373382037427
St. Michael's Cemetery,9.69275427574304
Astoria Park,15.90250532037671
Long Island City-Hunters Point,1.5414997431390107
Sunnyside,0.8917563315845416
Woodside,1.2910155140669626
Sunnyside Yards (South),4.84297280759772
Calvary & Mount Zion Cemeteries,2.976420802989647
Jackson Heights,1.0819853671460555
East Elmhurst,1.4788768021246337
North Corona,3.046896338128431
Elmhurst,1.0103605538864173
Corona,1.7705315514161482
Maspeth,0.7294284186952862
Ridgewood,0.9996979875931887
Glendale,1.4176388234413022
Middle Village,1.2173530358579654
Mount Olivet & All Faiths Cemeteries,5.5658402400565805
Middle Village Cemetery,7.718119007904623
St. John Cemetery,4.859238630339758
Highland Park-Cypress Hills Cemeteries (North),1.362227472151481
Rego Park,2.106551945767182
Forest Hills,0.7340073238029939
College Point,0.6376634809608851
Whitestone-Beechhurst,0.8081356642337018
Bay Terrace-Clearview,1.0819733735823784
Murray Hill-Broadway Flushing,0.7535219074418378
East Flushing,1.3435988090515185
Queensboro Hill,1.6096114146032472
Flushing-Willets Point,1.1036665356876316
Fort Totten,6.11422372747574
Kissena Park,3.861718968326329
Kew Gardens Hills,1.2399531676834783
Pomonok-Electchester-Hillcrest,1.150488592680355
Fresh Meadows-Utopia,1.2814276945357226
Jamaica Estates-Holliswood,1.0793349106309271
Jamaica Hills-Briarwood,1.5411091812058784
Mount Hebron & Cedar Grove Cemeteries,4.619261196178403
Cunningham Park,1.9966468041228995
Kew Gardens,2.0970438960593936
Richmond Hill,1.4053084647656071
South Richmond Hill,2.683952949078515
Ozone Park (North),2.3518345377480534
Woodhaven,1.7927868762690813
South Ozone Park,0.5197965811417569
Ozone Park,1.6942303123867888
Howard Beach-Lindenwood,0.8086387409945761
Spring Creek Park,3.590257953861132
Auburndale,0.7669428191517693
Bayside,0.6041515205467713
Douglaston-Little Neck,0.6241918723630658
Oakland Gardens-Hollis Hills,1.0732570312828702
Alley Pond Park,1.62780346505339
Jamaica,0.908348342371998
South Jamaica,1.1234941380432328
Baisley Park,0.8871629689920503
Springfield Gardens (North)-Rochdale Village,1.2342737522667482
St. Albans,0.5727000633149859
Hollis,1.7384340166046974
Glen Oaks-Floral Park-New Hyde Park,0.9365278602536088
Bellerose,0.7689226736570816
Queens Village,0.6106955214440641
Cambria Heights,1.2861856687190822
Laurelton,1.0677132350854084
Springfield Gardens (South)-Brookville,0.7406095407327716
Rosedale,0.9005678470690301
Montefiore Cemetery,7.992890342212964
