NTAName_left,Population,Weighted Median Income
Jackson Heights,4114.675675675676,73215.28983927012
Jacob Riis Park-Fort Tilden-Breezy Point Tip,1213.6,182126.60332893868
Jamaica,3696.525,72517.39345736874
Jamaica Bay (East),607.25,97250.0
Jamaica Bay (West),0.0,
Jamaica Estates-Holliswood,3139.76,83595.70627054297
Jamaica Hills-Briarwood,3621.0,83397.3833301468
John F. Kennedy International Airport,2819.375,104669.09563289736
Kensington,3570.2272727272725,86656.49239289579
Kew Gardens,2649.625,98735.07927222406
Kew Gardens Hills,3994.4444444444443,91578.64986091794
Kingsbridge Heights-Van Cortlandt Village,4926.714285714285,51167.113144083276
Kingsbridge-Marble Hill,4826.785714285715,70837.47368109509
Kissena Park,3371.1666666666665,82569.04360508232
LaGuardia Airport,3559.6666666666665,86580.58132783968
Laurelton,3119.714285714286,110972.35581707726
Lincoln Terrace Park,3872.4,49775.06288090073
Long Island City-Hunters Point,2301.0,158634.4708183143
Longwood,3986.304347826087,40823.532497136934
Lower East Side,4759.0952380952385,68252.70932850381
Madison,3009.542857142857,90789.37747545901
Manhattanville-West Harlem,5518.333333333333,62587.4477499245
Mapleton-Midwood (West),2906.1666666666665,75913.77374739539
Marine Park-Mill Basin-Bergen Beach,2218.3611111111113,111068.41449518538
Marine Park-Plumb Island,1949.0833333333333,107832.07982384882
Mariner's Harbor-Arlington-Graniteville,4363.785714285715,98702.13248653692
Maspeth,2461.5405405405404,92026.48259165321
McGuire Fields,3072.0,122516.09505208333
Melrose,5144.409090909091,37374.88902338815
Middle Village,2580.451612903226,100629.75940695552
Middle Village Cemetery,2217.4285714285716,83411.45071511403
Midtown South-Flatiron-Union Square,4785.961538461538,219478.7002531442
Midtown-Times Square,2869.6060606060605,195990.8899965152
Midwood,3225.2580645161293,91840.42051148695
Miller Field,4325.5,91911.88683389203
Montefiore Cemetery,2344.0,120692.79839780054
Morningside Heights,5379.125,105939.22148118886
Morris Park,2961.6923076923076,79302.2215079736
Morrisania,4563.727272727273,39331.94084779188
Mott Haven-Port Morris,3789.875,36052.62792308453
Mount Eden-Claremont (West),4570.172413793103,39358.989233032786
Mount Hebron & Cedar Grove Cemeteries,2750.25,77020.39350968094
Mount Hope,4475.625,44559.297742400966
Mount Olivet & All Faiths Cemeteries,2185.6666666666665,100907.13302577398
Murray Hill-Broadway Flushing,3822.0,71120.98541141399
Murray Hill-Kips Bay,5490.05,192062.6573710622
New Dorp-Midland Beach,4172.466666666666,95375.62330835477
New Springville-Willowbrook-Bulls Head-Travis,4132.888888888889,118256.00723196042
North & South Brother Islands,0.0,
North Corona,3240.730769230769,59654.64620990043
Norwood,4166.421052631579,50764.609421186935
Oakland Gardens-Hollis Hills,3473.3846153846152,104426.52648713293
Oakwood-Richmondtown,4008.6666666666665,115584.60061533345
Ocean Hill,3959.0344827586205,56130.99236142563
Old Astoria-Hallets Point,2814.25,109391.64377720529
Ozone Park,3718.684210526316,85020.51633996179
Ozone Park (North),2928.448275862069,77126.88016485133
Park Slope,3466.133333333333,196983.1389636867
Parkchester,4836.571428571428,63184.67183069471
Pelham Bay Park,4052.3333333333335,76930.23854569384
