NTAName,Population,Weighted Median Income,Below Poverty Line %,EAPop,Bachelor degree,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino,NormalizedSD,Total_NYPD_Complaints,avg_compound_score,norm_compound_score
Borough Park,3635.225,54448.75586105399,34.47631516305641,78757,5.533476389400308,237324,35.77809239689201,25.615192732298457,0.1655963998584214,10.502519762013112,0.0134836763243498,1.256931452360486,1.929008444152298,24.739175136100855,1.0508150653352129,0.018969742372106607,-0.399229510492978,0.4711504249909741
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2460.5,124180.761464472,10.123926040305657,21094,18.137859106855032,32516,61.20679050313692,23.05326608438922,0.0,1.8452454176405464,0.0,0.5535736252921639,1.2301636117603645,12.110960757780784,0.6144366702833415,0.001848866976391391,-0.4599100767407928,0.3201717463306701
Brighton Beach,3602.0,73998.34024956895,23.020910526146213,30583,20.81875551777131,35232,60.06755222524978,14.021344232515895,0.1192098092643051,8.353201634877385,0.0,0.3860127157129882,6.179041780199818,10.873637602179835,3.136078844062776,0.03786417290651669,-0.3673303376752547,0.5505184213723526
Bronx Park,3870.8947368421054,44775.65204563068,20.0,15,0.0,13,7.6923076923076925,61.53846153846154,0.0,0.0,0.0,0.0,0.0,30.76923076923077,1.2712698965194087,23.933333333333334,-0.3128147558731088,0.6861580670749355
Brooklyn Heights,3988.947368421053,218063.19581739017,3.980947386820486,23758,26.138563852176112,47060,58.10242243943902,14.793880152996175,0.2358691032724182,8.827029324266894,0.046748831279218,0.1041223969400765,3.918402039949001,13.971525711857202,4.261340181685852,0.03367286808653927,-0.3204161772110974,0.6672450505934672
Brownsville,3402.8076923076924,50151.79694370034,37.17008196721312,47971,5.595047007567072,48131,5.327128046373439,66.53092601441898,0.0124659782676445,1.3068500550580706,0.1101161413641935,0.3282707610479732,2.478652012216659,23.90559099125304,1.3817675327250611,0.12013508161180714,-0.348954643204736,0.5962387935141382
Bushwick (East),3684.39393939394,61634.683850803965,24.34959932450732,59406,12.542504124162544,116013,12.383956970339533,19.501262789514968,0.1620508046512029,4.849456526423763,0.0051718341909958,0.8274934705593339,1.5653418151414065,60.7052657891788,1.5229132989392435,0.059455273878059454,-0.3150102084565396,0.6806955845932453
Bushwick (West),3805.896551724138,63400.13846028395,20.69311445508436,53557,18.729577832963013,94573,20.749050997642037,10.462817083099829,0.0962219661002611,5.9636471297304725,0.0158607636429001,0.410265086229685,1.6283717340044197,60.673765239550406,1.8386615275021,0.05954403719401759,-0.2969408734697302,0.7256537069258153
Cambria Heights,2199.583333333333,113137.20882742944,5.256582296052937,21032,16.14682388740966,48500,40.03092783505154,40.29896907216495,0.2350515463917525,7.849484536082474,0.0,0.4309278350515463,3.101030927835052,8.05360824742268,1.2861856687190822,0.031190566755420313,-0.3522952354026338,0.5879271012019444
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3024.9736842105262,177207.83581414368,14.474882197907515,55487,21.86818534071044,200180,50.817264461984216,11.552602657608151,0.0699370566490158,8.131181936257368,0.14486961734439,0.4381057048656209,3.393445898691178,25.45259266660006,0.699507695311367,0.0570584100780363,-0.3498300367821739,0.594060735961255
