NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Kingsbridge-Marble Hill,19810.9644057,12312473.8953,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,12340164.712213075,24680329.42442615,49360658.8488523,98721317.6977046,197442635.3954092,394885270.7908184,789770541.5816368,1579541083.1632736,3159082166.326547,6318164332.653094,12636328665.306189
Kissena Park,15362.4024507,11015411.5821,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,11036803.379169537,22073606.758339074,44147213.51667815,88294427.0333563,176588854.0667126,353177708.1334252,706355416.2668504,1412710832.5337007,2825421665.0674014,5650843330.134803,11301686660.269606
LaGuardia Airport,40422.8383252,30591951.8932,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,30638404.126144033,61276808.252288066,122553616.50457613,245107233.00915226,490214466.0183045,980428932.036609,1960857864.073218,3921715728.146436,7843431456.292872,15686862912.585745,31373725825.17149
Laurelton,30011.281121699998,39840608.8574,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,39876649.53314053,79753299.06628107,159506598.13256213,319013196.26512426,638026392.5302485,1276052785.060497,2552105570.120994,5104211140.241988,10208422280.483976,20416844560.967953,40833689121.935905
Long Island City-Hunters Point,37376.5879598,27595502.474600002,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,27638908.457178634,55277816.91435727,110555633.82871453,221111267.65742907,442222535.31485814,884445070.6297163,1768890141.2594326,3537780282.518865,7075560565.03773,14151121130.07546,28302242260.15092
Longwood,21721.7556755,15385148.455699999,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,15414750.063882874,30829500.12776575,61659000.2555315,123318000.511063,246636001.022126,493272002.044252,986544004.088504,1973088008.177008,3946176016.354016,7892352032.708032,15784704065.416063
Maspeth,53782.1063808,58317407.9791,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,58377219.480099626,116754438.96019925,233508877.9203985,467017755.840797,934035511.681594,1868071023.363188,3736142046.726376,7472284093.452752,14944568186.905504,29889136373.81101,59778272747.62202
Melrose,19589.1956361,17271763.9632,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,17299233.01134347,34598466.02268694,69196932.04537389,138393864.09074777,276787728.18149555,553575456.3629911,1107150912.7259822,2214301825.4519644,4428603650.903929,8857207301.807858,17714414603.615715
Middle Village,35018.3939958,34943403.1145,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,34984450.90311463,69968901.80622926,139937803.61245853,279875607.22491705,559751214.4498341,1119502428.8996682,2239004857.7993364,4478009715.598673,8956019431.197346,17912038862.39469,35824077724.78938
Middle Village Cemetery,10370.4612317,5511491.24901,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,5527891.104860536,11055782.209721072,22111564.419442143,44223128.83888429,88446257.67776857,176892515.35553715,353785030.7110743,707570061.4221486,1415140122.8442972,2830280245.6885943,5660560491.377189
Montefiore Cemetery,11843.0836062,5322022.89155,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,5339895.369775036,10679790.739550073,21359581.479100145,42719162.95820029,85438325.91640058,170876651.83280116,341753303.6656023,683506607.3312047,1367013214.6624093,2734026429.3248186,5468052858.649637
Morris Park,24671.3980769,27833108.8186,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,27865660.069184273,55731320.13836855,111462640.2767371,222925280.5534742,445850561.1069484,891701122.2138968,1783402244.4277935,3566804488.855587,7133608977.711174,14267217955.422348,28534435910.844696
Morrisania,21889.2147161,13811173.762700003,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,13840942.829923479,27681885.659846958,55363771.319693916,110727542.63938783,221455085.27877566,442910170.5575513,885820341.1151026,1771640682.2302053,3543281364.4604106,7086562728.920821,14173125457.841642
Mott Haven-Port Morris,29217.823011299995,40974654.6448,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,41011752.32031867,82023504.64063734,164047009.28127468,328094018.56254935,656188037.1250987,1312376074.2501974,2624752148.500395,5249504297.00079,10499008594.00158,20998017188.00316,41996034376.00632
Mount Eden-Claremont (West),21548.5389296,13607266.0084,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,13636694.399836976,27273388.799673952,54546777.599347904,109093555.19869581,218187110.39739162,436374220.79478323,872748441.5895665,1745496883.179133,3490993766.358266,6981987532.716532,13963975065.433064
Mount Hebron & Cedar Grove Cemeteries,15876.258112099998,9208958.14137,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,9230863.794100937,18461727.588201873,36923455.176403746,73846910.35280749,147693820.70561498,295387641.41122997,590775282.8224599,1181550565.6449199,2363101131.2898397,4726202262.5796795,9452404525.159359
Mount Hope,16278.243664,12684327.542100001,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,12708485.638271376,25416971.276542753,50833942.553085506,101667885.10617101,203335770.21234202,406671540.42468405,813343080.8493681,1626686161.6987362,3253372323.3974724,6506744646.794945,13013489293.58989
Mount Olivet & All Faiths Cemeteries,19120.1861238,7642767.67572,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,7667917.2564626355,15335834.512925271,30671669.025850542,61343338.051701084,122686676.10340217,245373352.20680434,490746704.4136087,981493408.8272173,1962986817.6544347,3925973635.3088694,7851947270.617739
Murray Hill-Broadway Flushing,37469.2244064,56452698.920600004,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,56496197.539625235,112992395.07925047,225984790.15850094,451969580.3170019,903939160.6340038,1807878321.2680075,3615756642.536015,7231513285.07203,14463026570.14406,28926053140.28812,57852106280.57624
North & South Brother Islands,6884.55137338,930649.1830720002,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,945413.5869527546,1890827.1739055093,3781654.3478110186,7563308.695622037,15126617.391244074,30253234.78248815,60506469.5649763,121012939.1299526,242025878.2599052,484051756.5198104,968103513.0396208
North Corona,15547.5813236,13961243.7702,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,13982820.746142436,27965641.49228487,55931282.98456974,111862565.96913949,223725131.93827897,447450263.87655795,894900527.7531159,1789801055.5062318,3579602111.0124636,7159204222.024927,14318408444.049854
Norwood,22150.3086645,15724928.6239,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,15754958.785071876,31509917.57014375,63019835.1402875,126039670.280575,252079340.56115,504158681.1223,1008317362.2446,2016634724.4892,4033269448.9784,8066538897.9568,16133077795.9136
Oakland Gardens-Hollis Hills,33891.0996748,39634775.4019,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,39674695.89619363,79349391.79238726,158698783.58477452,317397567.16954905,634795134.3390981,1269590268.6781962,2539180537.3563924,5078361074.712785,10156722149.42557,20313444298.85114,40626888597.70228
Old Astoria-Hallets Point,15402.9907928,11092345.0547,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,11113777.440111635,22227554.88022327,44455109.76044654,88910219.52089308,177820439.04178616,355640878.0835723,711281756.1671447,1422563512.3342893,2845127024.6685786,5690254049.337157,11380508098.674314
Ozone Park,25097.1962606,25107784.8345,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,25138911.42537943,50277822.85075886,100555645.70151772,201111291.40303543,402222582.80607086,804445165.6121417,1608890331.2242835,3217780662.448567,6435561324.897134,12871122649.794268,25742245299.588535
Ozone Park (North),24790.7567832,18087303.6296,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,18118123.781002037,36236247.562004074,72472495.12400815,144944990.2480163,289889980.4960326,579779960.9920652,1159559921.9841304,2319119843.968261,4638239687.936522,9276479375.873043,18552958751.746086
Parkchester,12411.821165800002,9184335.19283,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,9204626.866503175,18409253.73300635,36818507.4660127,73637014.9320254,147274029.8640508,294548059.7281016,589096119.4562032,1178192238.9124064,2356384477.824813,4712768955.649626,9425537911.299252
Pelham Bay Park,111114.67902300002,99256120.3717,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,99375114.90323035,198750229.8064607,397500459.6129214,795000919.2258428,1590001838.4516857,3180003676.9033713,6360007353.806743,12720014707.613485,25440029415.22697,50880058830.45394,101760117660.90788
Pelham Bay-Country Club-City Island,121141.290814,35309788.882,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,35438810.02532137,70877620.05064274,141755240.1012855,283510480.202571,567020960.405142,1134041920.810284,2268083841.620568,4536167683.241136,9072335366.482271,18144670732.964542,36289341465.929085
Pelham Gardens,24343.0047644,30064822.785299998,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,30097045.64257177,60194091.28514354,120388182.57028708,240776365.14057416,481552730.2811483,963105460.5622966,1926210921.1245933,3852421842.2491865,7704843684.498373,15409687368.996746,30819374737.993492
Pelham Parkway-Van Nest,22996.7596459,15587595.457399998,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,15618472.069553273,31236944.139106546,62473888.27821309,124947776.55642618,249895553.11285236,499791106.2257047,999582212.4514095,1999164424.902819,3998328849.805638,7996657699.611276,15993315399.222551
Pomonok-Electchester-Hillcrest,28608.040467699997,36974156.5814,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,37008794.01648653,74017588.03297307,148035176.06594613,296070352.13189226,592140704.2637845,1184281408.527569,2368562817.055138,4737125634.110276,9474251268.220552,18948502536.441105,37897005072.88221
Queens Village,37292.3976734,69655494.8296,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,69698816.62189223,139397633.24378446,278795266.4875689,557590532.9751378,1115181065.9502757,2230362131.9005513,4460724263.801103,8921448527.602205,17842897055.20441,35685794110.40882,71371588220.81764
Queensboro Hill,30839.7008945,26427737.971899997,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,26464607.06741333,52929214.13482666,105858428.26965332,211716856.53930664,423433713.0786133,846867426.1572266,1693734852.3144531,3387469704.6289062,6774939409.2578125,13549878818.515625,27099757637.03125
Queensbridge-Ravenswood-Dutch Kills,27093.785536499996,27721577.754999995,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,27754700.935155325,55509401.87031065,111018803.7406213,222037607.4812426,444075214.9624852,888150429.9249704,1776300859.8499408,3552601719.6998816,7105203439.399763,14210406878.799526,28420813757.599052
Rego Park,26496.222316599997,20193352.2012,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,20225877.818135433,40451755.636270866,80903511.27254173,161807022.54508346,323614045.0901669,647228090.1803339,1294456180.3606677,2588912360.7213354,5177824721.442671,10355649442.885342,20711298885.770683
Richmond Hill,26207.751075999997,30269745.8427,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,30301982.98839483,60603965.97678966,121207931.95357932,242415863.90715864,484831727.8143173,969663455.6286346,1939326911.2572691,3878653822.5145383,7757307645.029077,15514615290.058153,31029230580.116306
Ridgewood,33459.2834981,42551183.4528,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,42590672.13091693,85181344.26183386,170362688.52366772,340725377.04733545,681450754.0946709,1362901508.1893418,2725803016.3786836,5451606032.757367,10903212065.514734,21806424131.02947,43612848262.05894
Rikers Island,18897.4876268,18163734.6669,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,18190512.007034175,36381024.01406835,72762048.0281367,145524096.0562734,291048192.1125468,582096384.2250936,1164192768.4501872,2328385536.9003744,4656771073.800749,9313542147.601498,18627084295.202995
Riverdale-Spuyten Duyvil,37646.5885349,62983243.62669999,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,63028770.067742266,126057540.13548453,252115080.27096906,504230160.5419381,1008460321.0838763,2016920642.1677525,4033841284.335505,8067682568.67101,16135365137.34202,32270730274.68404,64541460549.36808
Rockaway Beach-Arverne-Edgemere,67119.9688284,50502112.9048,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,50575262.26824723,101150524.53649446,202301049.07298893,404602098.14597785,809204196.2919557,1618408392.5839114,3236816785.167823,6473633570.335646,12947267140.671291,25894534281.342583,51789068562.685165
Rockaway Community Park,21348.912448,8929707.70127,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,8957086.008336835,17914172.01667367,35828344.03334734,71656688.06669468,143313376.13338935,286626752.2667787,573253504.5335574,1146507009.0671148,2293014018.1342297,4586028036.268459,9172056072.536919
Rosedale,55266.0291836,47235424.4955,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,47296719.91930243,94593439.83860485,189186879.6772097,378373759.3544194,756747518.7088388,1513495037.4176776,3026990074.8353553,6053980149.670711,12107960299.341421,24215920598.682842,48431841197.365685
Soundview Park,18348.8724207,7798457.7451,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,7824686.470028074,15649372.940056149,31298745.880112298,62597491.760224596,125194983.52044919,250389967.04089838,500779934.08179677,1001559868.1635935,2003119736.327187,4006239472.654374,8012478945.308748
Soundview-Bruckner-Bronx River,26836.619736200002,32208011.106099997,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,32242727.57834357,64485455.15668714,128970910.31337428,257941820.62674856,515883641.2534971,1031767282.5069942,2063534565.0139885,4127069130.027977,8254138260.055954,16508276520.111908,33016553040.223816
Soundview-Clason Point,40474.1737105,30319584.7133,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,30367938.73951787,60735877.47903574,121471754.95807149,242943509.91614297,485887019.83228594,971774039.6645719,1943548079.3291438,3887096158.6582875,7774192317.316575,15548384634.63315,31096769269.2663
South Jamaica,33185.0982446,37862543.2305,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,37901757.72336343,75803515.44672686,151607030.89345372,303214061.78690743,606428123.5738149,1212856247.1476297,2425712494.2952595,4851424988.590519,9702849977.181038,19405699954.362076,38811399908.72415
South Ozone Park,36690.0780316,81836523.9677,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,81879243.44035043,163758486.88070086,327516973.7614017,655033947.5228034,1310067895.0456069,2620135790.0912137,5240271580.182427,10480543160.364855,20961086320.72971,41922172641.45942,83844345282.91884
South Richmond Hill,21161.5689959,15849139.7495,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,15876330.713114737,31752661.426229473,63505322.85245895,127010645.7049179,254021291.4098358,508042582.8196716,1016085165.6393431,2032170331.2786863,4064340662.5573726,8128681325.114745,16257362650.22949
Spring Creek Park,28395.9712007,11848150.5698,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,11882575.935619539,23765151.871239077,47530303.742478155,95060607.48495631,190121214.96991262,380242429.93982524,760484859.8796505,1520969719.759301,3041939439.518602,6083878879.037204,12167757758.074408
Springfield Gardens (North)-Rochdale Village,27779.4049517,34464287.6488,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,34498096.44837053,68996192.89674106,137992385.79348212,275984771.58696425,551969543.1739285,1103939086.347857,2207878172.695714,4415756345.391428,8831512690.782856,17663025381.565712,35326050763.131424
Springfield Gardens (South)-Brookville,46029.1389596,57436523.9017,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,57488582.43527842,114977164.87055685,229954329.7411137,459908659.4822274,919817318.9644548,1839634637.9289095,3679269275.857819,7358538551.715638,14717077103.431276,29434154206.862553,58868308413.725105
St. Albans,41392.537704,74276850.0334,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,74324271.96572283,148648543.93144566,297297087.8628913,594594175.7257826,1189188351.4515653,2378376702.9031305,4756753405.806261,9513506811.612522,19027013623.225044,38054027246.45009,76108054492.90018
St. John Cemetery,11694.1566971,8754117.38484,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,8771840.936155936,17543681.87231187,35087363.74462374,70174727.48924749,140349454.97849497,280698909.95698994,561397819.9139799,1122795639.8279598,2245591279.6559196,4491182559.311839,8982365118.623678
St. Michael's Cemetery,8656.46287824,4388717.1744,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,4403403.031897074,8806806.063794147,17613612.127588294,35227224.25517659,70454448.51035318,140908897.02070636,281817794.0414127,563635588.0828254,1127271176.1656508,2254542352.3313017,4509084704.662603
Sunnyside,34952.1548019,47701716.7875,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,47742698.33692072,95485396.67384145,190970793.3476829,381941586.6953658,763883173.3907316,1527766346.7814631,3055532693.5629263,6111065387.125853,12222130774.251705,24444261548.50341,48888523097.00682
Sunnyside Yards (North),16111.611285299998,4500281.95583,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,4522422.961734134,9044845.923468268,18089691.846936535,36179383.69387307,72358767.38774614,144717534.77549228,289435069.55098456,578870139.1019691,1157740278.2039382,2315480556.4078765,4630961112.815753
Sunnyside Yards (South),22732.9054395,8783519.3508,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,8812281.650858335,17624563.30171667,35249126.60343334,70498253.20686668,140996506.41373336,281993012.8274667,563986025.6549335,1127972051.309867,2255944102.619734,4511888205.239468,9023776410.478935
Throgs Neck-Schuylerville,86661.1880036,66476945.109,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,66571486.14951095,133142972.2990219,266285944.5980438,532571889.1960876,1065143778.3921752,2130287556.7843504,4260575113.568701,8521150227.137402,17042300454.274803,34084600908.549606,68169201817.09921
Tremont,18324.1149353,15826653.868599998,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,15852857.836042672,31705715.672085345,63411431.34417069,126822862.68834138,253645725.37668276,507291450.7533655,1014582901.506731,2029165803.013462,4058331606.026924,8116663212.053848,16233326424.107697
University Heights (North)-Fordham,27360.619793,18313195.0913,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,18348435.563600373,36696871.127200745,73393742.25440149,146787484.50880298,293574969.01760596,587149938.0352119,1174299876.0704238,2348599752.1408477,4697199504.281695,9394399008.56339,18788798017.12678
University Heights (South)-Morris Heights,21833.819081,19642543.0089,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,19672256.680488374,39344513.36097675,78689026.7219535,157378053.443907,314756106.887814,629512213.775628,1259024427.551256,2518048855.102512,5036097710.205024,10072195420.410048,20144390840.820095
Van Cortlandt Park,32859.7596476,50659356.9805,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,50700096.59265497,101400193.18530995,202800386.3706199,405600772.7412398,811201545.4824796,1622403090.9649591,3244806181.9299183,6489612363.859837,12979224727.719673,25958449455.439346,51916898910.87869
Wakefield-Woodlawn,39101.72647,39646811.8654,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,39693793.44437738,79387586.88875476,158775173.7775095,317550347.555019,635100695.110038,1270201390.220076,2540402780.440152,5080805560.880304,10161611121.760609,20323222243.521217,40646444487.042435
West Farms,21994.1099654,11701999.6844,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,11731873.646872774,23463747.293745548,46927494.587491095,93854989.17498219,187709978.34996438,375419956.69992876,750839913.3998575,1501679826.799715,3003359653.59943,6006719307.19886,12013438614.39772
