NTAName,Shape_Leng,Shape_Area,Total Population,Below Poverty Level,Above Poverty Level,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher",Below Poverty Level_WA,Above Poverty Level_WA,Less than 9th grade_WA,"9th to 12th grade, no diploma_WA",High school diploma_WA,Some college_WA,Associate degree_WA,Bachelor degree_WA,Graduate degree_WA,"High school graduate, or higher_WA","Bachelor degree, or higher_WA"
Bedford Park,20826.4325425,24552528.8724,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,24581235.157449875,49162470.31489975,98324940.6297995,196649881.259599,393299762.519198,786599525.038396,1573199050.076792,3146398100.153584,6292796200.307168,12585592400.614336,25171184801.228672
Bellerose,32397.663519300004,55322223.0696,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,55360650.127738126,110721300.25547625,221442600.5109525,442885201.021905,885770402.04381,1771540804.08762,3543081608.17524,7086163216.35048,14172326432.70096,28344652865.40192,56689305730.80384
Belmont,19746.6529273,16393957.4602,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,16421583.965634674,32843167.931269348,65686335.862538695,131372671.72507739,262745343.45015478,525490686.90030956,1050981373.8006191,2101962747.6012383,4203925495.2024765,8407850990.404953,16815701980.809906
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,104337.14605799998,69230686.6319,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,69341053.17257683,138682106.34515366,277364212.6903073,554728425.3806146,1109456850.7612293,2218913701.5224586,4437827403.044917,8875654806.089834,17751309612.17967,35502619224.35934,71005238448.71867
Bronx Park,32849.0273674,33461446.5837,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,33502175.463574775,67004350.92714955,134008701.8542991,268017403.7085982,536034807.4171964,1072069614.8343928,2144139229.6687856,4288278459.337571,8576556918.675142,17153113837.350285,34306227674.70057
Calvary & Mount Zion Cemeteries,22214.0792314,14291819.944400001,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,14320063.418250237,28640126.836500473,57280253.67300095,114560507.3460019,229121014.6920038,458242029.3840076,916484058.7680151,1832968117.5360303,3665936235.0720606,7331872470.144121,14663744940.288242
Cambria Heights,26160.9873853,33073254.0453,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,33105444.427304134,66210888.85460827,132421777.70921654,264843555.41843307,529687110.83686614,1059374221.6737323,2118748443.3474646,4237496886.694929,8474993773.389858,16949987546.779716,33899975093.559433
Castle Hill-Unionport,39756.7170959,32897687.2664,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,32945323.83600327,65890647.67200654,131781295.34401308,263562590.68802616,527125181.3760523,1054250362.7521046,2108500725.5042093,4217001451.0084186,8434002902.016837,16868005804.033674,33736011608.06735
Claremont Park,6258.49008505,1863712.12146,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,1877850.464052424,3755700.928104848,7511401.856209696,15022803.712419393,30045607.424838785,60091214.84967757,120182429.69935514,240364859.39871028,480729718.79742056,961459437.5948411,1922918875.1896822
Claremont Village-Claremont (East),16428.1102572,9996877.32456,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,10021185.287324574,20042370.574649148,40084741.149298295,80169482.29859659,160338964.59719318,320677929.19438636,641355858.3887727,1282711716.7775455,2565423433.555091,5130846867.110182,10261693734.220364
Co-op City,25102.627014099995,29055660.9167,4233.238938053098,1156.8495575221239,494.78761061946904,623.8436578171091,141.85545722713863,118.21238938053098,358.7994100294985,201.97050147492627,354.04424778761063,148.7109144542773,29.188790560471976,18.35103244837758,29088643.39622147,58177286.79244294,116354573.58488588,232709147.16977176,465418294.3395435,930836588.679087,1861673177.358174,3723346354.716348,7446692709.432696,14893385418.865393,29786770837.730785
College Point,67458.3118783,66709670.3218,3419.1150971599404,413.2242152466368,179.73692077727952,585.829596412556,91.5560538116592,91.050822122571,266.43796711509714,191.32286995515696,498.0403587443946,220.68609865470853,48.366218236173395,24.028400597907325,66783158.02829713,133566316.05659425,267132632.1131885,534265264.226377,1068530528.452754,2137061056.905508,4274122113.811016,8548244227.622032,17096488455.244064,34192976910.48813,68385953820.97626
