NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
Bushwick (East),62769,24.34959932450732,59406,585.8283433133732,129.34131736526945,100.33266799733866,308.7159015302728,203.459747172322,495.7418496340652,152.82767797737858,16.43379906852961,14.238190286094476
Bushwick (West),54825,20.69311445508436,53557,219.05594405594405,31.818181818181817,23.717948717948715,95.92074592074592,45.74592074592075,292.2785547785548,79.8951048951049,9.848484848484848,2.301864801864802
Cambria Heights,21611,5.256582296052937,21032,41.80076157720182,7.971993612578307,10.490111779879621,31.703721901486304,19.911558776563076,41.71477705441592,22.159439872251564,2.604102690087213,1.4003193710846333
Canarsie,89379,13.000816746663086,82910,263.76042456406367,65.92115238817286,39.06368460955269,169.31387414708112,93.7642153146323,196.17134192570128,90.71266110689916,13.153904473085671,4.454131918119788
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,62605,14.474882197907515,55487,76.8107804604155,19.22141119221411,17.29365524985963,43.79562043795621,22.81489799737975,227.1008796556242,155.23114355231144,58.01983904173685,18.397903799363654
Castle Hill-Unionport,38911,21.621135411580273,39677,394.4594594594594,83.51351351351352,65.87837837837837,265.7432432432432,141.95945945945948,207.36486486486484,69.52702702702702,14.391891891891891,8.243243243243244
Chelsea-Hudson Yards,62042,11.477708648979723,54855,127.65036780614452,46.81955863262657,42.968411942881865,125.31371700562528,61.3154478580701,808.1350064906967,448.5936823885764,152.70445694504545,76.8931198615318
Chinatown-Two Bridges,41296,32.42202634637737,35695,734.8639455782313,146.7687074829932,71.42857142857143,302.89115646258506,199.14965986394557,753.2312925170068,232.6530612244898,89.45578231292517,20.74829931972789
Claremont Village-Claremont (East),24051,43.18323562429837,26167,36.118143459915615,9.599156118143458,5.632911392405063,20.88607594936709,9.472573839662447,12.837552742616035,2.689873417721519,0.8016877637130801,0.0
Clinton Hill,25739,9.440926220909903,27082,36.73376029277219,5.054894784995426,16.422689844464774,37.55718206770357,26.2580054894785,173.4903934126258,91.55992680695334,21.31747483989021,10.54437328453797
College Point,30789,10.620676215531521,28404,94.62094998427179,8.037118590751808,12.142183076439132,28.468071720666877,34.71217363950928,44.086190625983015,14.564328405158856,3.554576910978295,1.14815979867883
Concourse-Concourse Village,68122,31.898652417721145,61126,277.29796421961754,57.526218383713754,48.889574336829114,169.0314620604565,80.90684762492289,132.94262800740285,46.144355336212215,8.019740900678594,2.8069093152375078
Coney Island-Sea Gate,50786,27.395345173866815,48372,132.07421026241016,19.28798261741601,13.438074544542872,44.65986963062009,51.16162460304196,123.78405482199565,82.58398796590339,13.287648336954705,6.033762326592011
Corona,72363,19.236350068405127,53284,264.4368059227922,25.092543627710207,28.34479111581174,101.32205182443153,72.42199894235854,124.37863564251718,28.556319407720782,6.425171866737175,1.718667371760973
Crotona Park East,29009,29.366748250542933,27953,366.2628145386766,97.57688723205965,69.15191053122088,216.7753960857409,115.00465983224603,207.5489282385834,43.24324324324324,4.287045666356011,5.032618825722274
Crown Heights (North),86371,20.486042768984962,71030,79.25565827223463,15.094038890659867,13.30092445011157,42.150143449155244,26.123685049410266,98.80459037296781,51.5779407076825,12.304749760918074,2.327064073956009
Crown Heights (South),51329,17.417054686434568,39594,139.1885205343889,20.90549233052944,24.344383968332508,117.46660069272636,36.961900049480455,145.9426026719446,70.16328550222663,11.232063334982682,6.77882236516576
Cypress Hills,42554,19.304883207219063,40908,inf,inf,inf,inf,inf,inf,inf,inf,inf
Douglaston-Little Neck,26430,7.317442300416194,25400,96.42857142857143,7.6155462184873945,18.329831932773107,56.30252100840336,40.91386554621849,142.75210084033614,73.31932773109243,24.97373949579832,11.76470588235294
Downtown Brooklyn-DUMBO-Boerum Hill,37884,15.993559286242212,24603,28.087254371732467,8.671353884982874,6.760411032990805,21.759509644853072,7.6077158824589874,123.9949522264287,76.11321435009916,31.54858482062376,10.996935280331712
Dyker Heights,43292,18.527672549200776,42554,109.72000580298852,12.244305817496011,12.302335702886987,23.87929783838677,25.47511968663862,86.36297693312056,33.14957202959524,8.254751196866387,4.033077034672856
East Elmhurst,24282,13.56972242813607,24962,317.7106804867057,19.648490310950876,23.479044614691304,78.77422262280307,52.18566922036953,85.30869761153673,29.112212708427222,5.7683641279855795,0.8562415502478594
East Flatbush-Erasmus,44489,15.23747443188204,38153,139.39122649955237,22.142643986869594,9.16144434497165,55.01342882721576,20.20292450014921,69.35243210981797,27.558937630558045,6.9382273948075195,1.7009847806624887
East Flatbush-Farragut,35814,10.091025855810578,31371,159.64183752919803,27.069815728004155,16.81806384635349,93.53750324422528,49.130547625227095,102.9846872566831,46.45730599532831,5.060991435245263,3.062548663379185
East Flatbush-Remsen Village,36980,18.696592752839372,36660,90.891597177678,19.692110327132777,15.291853752405387,42.34765875561257,28.54393842206543,56.933932007697244,17.52405388069275,2.4502886465683127,1.475304682488775
East Flatbush-Rugby,40116,12.311795792202613,38433,239.74358974358972,36.743044189852704,24.931805782869613,118.98527004909984,56.38297872340425,117.48499727223131,43.344244408074196,4.773595199127114,3.3006001091107477
East Flushing,30685,16.67915919830536,27040,285.0267379679144,27.647058823529413,26.203208556149733,83.52941176470588,117.96791443850267,154.81283422459893,66.41711229946524,18.77005347593583,8.77005347593583
East Harlem (North),63802,32.26858092222814,64762,861.5544041450777,285.4922279792746,140.10362694300517,486.11398963730574,228.2901554404145,757.3056994818653,374.1968911917098,76.58031088082902,44.04145077720207
